job_position,job_link,job_id,company_name,company_profile,job_location,job_posting_date
Senior Data Scientist,https://hk.linkedin.com/jobs/view/senior-data-scientist-at-lfx-digital-3826274956?refId=x6DB6GuVh8xg%2FpgDongbIw%3D%3D&trackingId=qLnOhaXP1%2BtL8qoJHf2MsA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,3826274956,LFX Digital,https://hk.linkedin.com/company/lfxdigital?trk=public_jobs_jserp-result_job-search-card-subtitle,"Kowloon, Hong Kong SAR",2024-02-19
Data Scientist,https://hk.linkedin.com/jobs/view/data-scientist-at-climind-3788691926?refId=x6DB6GuVh8xg%2FpgDongbIw%3D%3D&trackingId=5H14fqPBoYQbeVN8Z1SclQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,3788691926,Climind,https://uk.linkedin.com/company/climindtech?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hong Kong, Hong Kong SAR",2024-01-12
Senior Data Scientist (Operational and Machine Learning Research),https://hk.linkedin.com/jobs/view/senior-data-scientist-operational-and-machine-learning-research-at-tcl-corporate-research-hk-co-ltd-3833789185?refId=x6DB6GuVh8xg%2FpgDongbIw%3D%3D&trackingId=peKsTJB6ROo50n79ElUODg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,3833789185,"TCL Corporate Research(HK) Co., Ltd",https://hk.linkedin.com/company/tcl-corporate-research-hk-co-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle,"New Territories, Hong Kong SAR",2024-02-19
Data Scientist / Data Analyst / Data Engineer,https://hk.linkedin.com/jobs/view/data-scientist-data-analyst-data-engineer-at-bah-partners-3814227852?refId=x6DB6GuVh8xg%2FpgDongbIw%3D%3D&trackingId=Ez3Zpwh8hGBEAnYdmhziYw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,3814227852,BAH Partners,https://hk.linkedin.com/company/bah?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hong Kong, Hong Kong SAR",2024-01-31
AI Engineer,https://hk.linkedin.com/jobs/view/ai-engineer-at-ai-staffing-ninja-3830976904?refId=x6DB6GuVh8xg%2FpgDongbIw%3D%3D&trackingId=rol6KflFhXvzu2CYTyp9qg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,3830976904,AI Staffing Ninja,https://www.linkedin.com/company/ai-staffing-ninja?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hong Kong, Hong Kong SAR",2024-02-20
Data Scientist (ETL_SQL_Python_AI/ML_AA_SSIS_UIpath_DataMgmt),https://hk.linkedin.com/jobs/view/data-scientist-etl-sql-python-ai-ml-aa-ssis-uipath-datamgmt-at-maltem-asia-pacific-3824471376?refId=x6DB6GuVh8xg%2FpgDongbIw%3D%3D&trackingId=d9MGGCBccxTDx6nSbLrB1w%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,3824471376,Maltem Asia-Pacific,https://www.linkedin.com/company/maltem-asia-pacific?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hong Kong, Hong Kong SAR",2024-02-08
Research Scientist -AI Agent,https://hk.linkedin.com/jobs/view/research-scientist-ai-agent-at-huawei-3768751740?refId=x6DB6GuVh8xg%2FpgDongbIw%3D%3D&trackingId=FLDfr%2FkUirVg5LBsLHJSSw%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,3768751740,Huawei,https://cn.linkedin.com/company/huawei?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hong Kong, Hong Kong SAR",2023-11-29
Machine Learning / LLM Developer,https://hk.linkedin.com/jobs/view/machine-learning-llm-developer-at-oliver-james-3817470636?refId=x6DB6GuVh8xg%2FpgDongbIw%3D%3D&trackingId=cxoW4dzr5%2FvHC4yy%2FZeTPQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,3817470636,Oliver James,https://uk.linkedin.com/company/oliver-james-?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hong Kong, Hong Kong SAR",2024-01-30
Data Scientist,https://hk.linkedin.com/jobs/view/data-scientist-at-millennium-3823228738?refId=x6DB6GuVh8xg%2FpgDongbIw%3D%3D&trackingId=ndxn1Xd6SddwHDRQuTwSWw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,3823228738,Millennium,https://www.linkedin.com/company/millennium-partners?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hong Kong, Hong Kong SAR",2024-02-06
Research Scientist,https://hk.linkedin.com/jobs/view/research-scientist-at-ai-staffing-ninja-3830381530?refId=x6DB6GuVh8xg%2FpgDongbIw%3D%3D&trackingId=y0RDW%2F%2BPuF5oF3ydiCjeJQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,3830381530,AI Staffing Ninja,https://www.linkedin.com/company/ai-staffing-ninja?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hong Kong, Hong Kong SAR",2024-02-19
Data Scientist,https://hk.linkedin.com/jobs/view/data-scientist-at-epam-systems-3836885098?refId=x6DB6GuVh8xg%2FpgDongbIw%3D%3D&trackingId=70GpXd%2F8ZvuOzbIXMToi%2BA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,3836885098,EPAM Systems,https://www.linkedin.com/company/epam-systems?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hong Kong, Hong Kong SAR",2024-02-23
"Specialist, Data Science & Analytics",https://hk.linkedin.com/jobs/view/specialist-data-science-analytics-at-gogox-3835246919?refId=x6DB6GuVh8xg%2FpgDongbIw%3D%3D&trackingId=wpq2sBUKgxRnzY9RbOSdpg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,3835246919,GoGoX,https://hk.linkedin.com/company/gogox?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hong Kong, Hong Kong SAR",2024-02-21
